FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
r5k1/ppQ1n1qp/2n1N3/2Pp1P2/8/P1PK4/2p3r1/8 b - - 2 28,Winquitter,orhanilu,c2c1n,-9998,-9998,1.0,1.0,Equivalent
8/2Pk4/5p2/3K1P2/6p1/8/5P2/8 w - - 1 58,Alechinback,ranibow_ghost,c7c8n,694,1020,0.919,0.9726,Style / Flex
8/8/6k1/3K4/8/8/7p/2q5 b - - 1 86,pawn_git,cinder-bot,h2h1n,-9993,-9997,1.0,1.0,Equivalent
8/4QP2/1k6/8/8/2K3P1/P4P2/8 w - - 1 46,cinder-bot,Weiawaga,f7f8n,9996,9998,1.0,1.0,Equivalent
r4rk1/p2n1p2/1p2pn1Q/1Np5/2PP2q1/3B1P2/PP4pK/3R1R2 b - - 1 22,blitz2006,czechplayer01,g2f1n,-426,-301,0.8162,0.7414,Optimal
8/6Q1/8/8/1p3K2/7k/7p/8 b - - 5 66,CPU2002,simbelmyne-bot,h2h1n,9998,9999,0.0,0.0,Equivalent
8/8/6Q1/8/8/5K2/6p1/5k2 b - - 1 85,cinder-bot,YukariBot,g2g1n,9994,9999,0.0,0.0,Equivalent
8/6kP/8/5Q2/8/5P2/6K1/8 w - - 1 71,cinder-bot,simbelmyne-bot,h7h8n,9994,9995,1.0,1.0,Equivalent
4K3/1r3P2/4k3/8/8/8/8/8 w - - 7 78,colinbot,SOLIDOR59,f7f8n,-19,-9999,0.4834,0.0,Brilliant
2r3k1/p4p2/4pP2/2p3q1/1p6/5QP1/PpB2PK1/3R4 b - - 0 29,Weiawaga,CPU2002,b2b1n,659,706,0.0906,0.0779,Equivalent
5k2/7R/5P2/4p1P1/6K1/r7/p6P/1n6 b - - 4 53,Kacem2014,NightWish2000,a2a1n,766,-621,0.0641,0.8978,Blunder
8/8/8/K5k1/8/8/7p/8 b - - 0 64,Lynx_BOT,cinder-bot,h2h1n,0,-9990,0.5,1.0,Blunder
7Q/5P2/8/k7/6K1/8/8/8 w - - 1 88,cinder-bot,simbelmyne-bot,f7f8n,9990,9997,1.0,1.0,Equivalent
1rn4r/p2kbP2/P1ppN1p1/q3n2p/4P3/2N4Q/BP4PP/2B2RK1 w - - 1 29,CPU2006,simpleEval,f7f8n,496,487,0.8502,0.8461,Equivalent
8/R6p/2k5/2p2p2/7P/6P1/p4PK1/8 b - - 0 45,Neptune_Uranus,ebaldreamal,a2a1n,670,706,0.0875,0.0779,Equivalent
4Q3/pr2bP2/2npk3/q1p1p3/4P3/3P4/Pp6/R1B2RK1 w - - 0 33,JohnAllen,purpleblitz,f7f8n,10000,9999,1.0,1.0,Equivalent
1r6/8/3p1k1p/2pP3P/3n1P2/2KP1B2/1p6/8 b - - 1 47,Unagi5,OnePysy,b2b1n,-9999,-9997,1.0,1.0,Equivalent
8/2P5/3K4/8/2k3B1/8/8/8 w - - 1 65,cinder-bot,odonata-bot,c7c8n,205,9995,0.6721,1.0,Style / Flex
2rr4/1P2k2p/1p1p2p1/4p3/2P5/6P1/PPK5/5R2 w - - 0 37,Dandel2i3Fernandez,Aleksandr_Ladoga,b7c8n,-188,-185,0.3412,0.3436,Equivalent
1Q6/2P5/3K4/3N1k2/8/8/8/8 w - - 1 74,cinder-bot,Lynx_BOT,c7c8n,9994,9997,1.0,1.0,Equivalent
2K5/1P6/4p3/8/8/8/6k1/8 w - - 0 72,cinder-bot,SaxtonEngine,b7b8n,0,9990,0.5,1.0,Blunder
5rk1/8/4p3/p6r/2q5/PP6/K1p4p/4Q2R b - - 0 60,simbelmyne-bot,Lynx_BOT,c2c1n,-9990,-9992,1.0,1.0,Equivalent
2r2n1r/p1q1P1k1/1p1p1pP1/3B3p/2P4P/6P1/PP2Q3/R1B3K1 w - - 1 24,orhanilu,InfamousOne,e7e8n,485,533,0.8452,0.8659,Equivalent
8/6kP/3p2p1/1b1P1p2/1b3P2/1B4K1/8/q7 w - - 1 51,kiflaaa,SmokedGray,h7h8n,-9997,-9995,0.0,0.0,Equivalent
3R4/4P1k1/pNp3p1/P4p2/4q3/6Pp/5P1P/3R2K1 w - - 1 43,Chessisnotfair,RebeccaHarris,e7e8n,294,-9999,0.7367,0.0,Brilliant
8/1P5p/2k3p1/2p2p2/2n4P/1R1RrPK1/6P1/3q4 w - - 0 41,Boller1910,Lili-ai,b7b8n,0,3,0.5,0.5026,Equivalent
8/3Pk3/7p/2p5/bpP2p1P/5P2/r7/4K3 w - - 3 74,pawn_git,MateWithRook_SF17DEV,d7d8n,-9995,-9995,0.0,0.0,Equivalent
8/4PK2/8/7p/b6P/6k1/5p2/8 w - - 0 61,Lynx_BOT,cinder-bot,e7e8n,-9988,-9988,0.0,0.0,Equivalent
8/5p2/8/8/8/5K2/R5p1/5k2 b - - 3 68,OpeningsBot,InanisBot,g2g1n,65,9999,0.4434,0.0,Brilliant
8/4P1k1/1p1B1p2/3p4/3Pp1P1/P5PK/4q3/1q6 w - - 0 55,daniel_chessbot,SaxtonEngine,e7e8n,-9998,-9999,0.0,0.0,Equivalent
8/7k/2K5/8/8/8/6p1/4q3 b - - 1 78,simbelmyne-bot,cinder-bot,g2g1n,-9992,-9997,1.0,1.0,Equivalent
8/4k2p/2P3p1/3P4/8/3N2P1/4pbKP/8 b - - 2 46,CPU2006,PZChessBot,e2e1n,-8,-166,0.507,0.6413,Suboptimal
2R5/pp3Ppk/7p/P2N4/4nP2/4P2P/1q6/4nRK1 w - - 1 34,YoBot_v2,Botyuliirma,f7f8n,0,-9999,0.5,0.0,Brilliant
8/2Pk4/8/1K6/3B4/8/8/8 w - - 1 76,cinder-bot,simbelmyne-bot,c7c8n,0,0,0.5,0.5,Equivalent
8/8/8/8/p7/2K5/1p5R/2k5 b - - 3 73,CPU2010,Shocky_BOT,b2b1n,51,9999,0.4555,0.0,Brilliant
r3r3/3P2kp/2p3p1/1pb1pp2/2p5/P1P1P2P/1P4P1/3R1RK1 w - - 0 26,Mischuk_D,KAPUTVSEMU,d7e8n,123,-31,0.606,0.4729,Optimal
7k/PP1PQ3/4R3/8/4B2K/8/8/8 w - - 1 72,chesssink,ana_7azeen,d7d8n,9998,10000,1.0,1.0,Equivalent
B7/6P1/7Q/1k6/5K2/8/8/8 w - - 1 86,cinder-bot,Lynx_BOT,g7g8n,9994,9997,1.0,1.0,Equivalent
8/7P/5K2/8/1Pk3P1/8/8/8 w - - 1 65,cinder-bot,odonata-bot,h7h8n,1024,9992,0.973,1.0,Equivalent
7N/6P1/5K2/8/3k4/8/8/8 w - - 1 70,cinder-bot,odonata-bot,g7g8n,-65,9991,0.4434,1.0,Blunder
8/2r5/R2b4/3Pp1k1/4P3/3N2p1/2p1K1P1/8 b - - 1 75,magnusglad_bot,YukariBot,c2c1n,-5,-10,0.5044,0.5087,Equivalent
8/8/8/8/6k1/8/4Kp2/8 b - - 1 75,simbelmyne-bot,cinder-bot,f2f1n,0,0,0.5,0.5,Equivalent
8/8/3p4/3P4/8/3K4/6p1/3Qbk2 b - - 13 78,MateWithRook_SF17DEV,YukariBot,g2g1n,1278,9999,0.0113,0.0,Equivalent
1k2r2r/ppp3p1/6q1/3p3p/5P2/1Q2n2P/PP1Np2K/R1B1RB2 b - - 0 28,Odnoobraz,bazar-wokzal,e2f1n,-9999,-9998,1.0,1.0,Equivalent
8/8/8/8/k7/8/1pK5/b7 b - - 1 76,SaxtonEngine,cinder-bot,b2b1n,-12,0,0.5105,0.5,Equivalent
8/5N2/6pP/5k2/8/1B6/P3rpK1/8 b - - 0 57,MateWithRook_SF17DEV,pawn_git,f2f1n,389,419,0.204,0.1875,Equivalent
8/8/2K5/8/6k1/8/5p2/7n b - - 1 83,simbelmyne-bot,cinder-bot,f2f1n,25,-9991,0.4781,1.0,Blunder
2Q5/6k1/8/pR1Pp3/P3pb2/8/2K1p3/8 b - - 1 49,alexthegrat,MaxtheDog,e2e1n,9994,9995,0.0,0.0,Equivalent
8/1PK2N2/8/2nk4/8/8/8/8 w - - 1 111,Weiawaga,cinder-bot,b7b8n,1,7,0.5009,0.5061,Equivalent
8/7P/5p2/4kp2/7r/8/4K3/8 w - - 1 117,bot_adario,ArasanX,h7h8n,-9986,-9988,0.0,0.0,Equivalent
3r4/2P2k2/pBnKp3/P5p1/7p/7P/8/8 w - - 0 71,Euwe-chess-engine,CPU2002,c7d8n,556,644,0.875,0.905,Equivalent
8/6p1/6k1/8/2q5/8/1K3p2/8 b - - 1 80,SaxtonEngine,cinder-bot,f2f1n,-9996,-9999,1.0,1.0,Equivalent
1K6/8/8/8/2k5/8/6Bp/8 b - - 4 78,PZChessBot,Shocky_BOT,h2h1n,5,0,0.4956,0.5,Equivalent
2Q5/1P6/8/K7/8/4k3/8/8 w - - 1 96,cinder-bot,odonata-bot,b7b8n,9990,9997,1.0,1.0,Equivalent
1R1B4/4Pk2/8/2bp1b2/2p5/1p1n2P1/7K/8 w - - 1 61,pawn_git,cinder-bot,e7e8n,-642,-657,0.0956,0.0912,Equivalent
8/5p2/8/8/8/4K3/R4p2/4k3 b - - 3 95,CPU2002,Shocky_BOT,f2f1n,27,9999,0.4764,0.0,Brilliant
8/3PB1p1/4n2p/3kP2P/p1pp1p2/P7/8/5K2 w - - 0 103,bot_adario,duchessAI,d7d8n,-569,-657,0.1201,0.0912,Equivalent
8/1P3pk1/r3pp2/2b5/2P1KPPp/7P/8/8 w - - 0 43,diabloazul2006,always63,b7b8n,-9997,-772,0.0,0.0629,Suboptimal
8/4P2k/5Q2/8/1P6/8/1K6/8 w - - 1 88,cinder-bot,SaxtonEngine,e7e8n,9999,0,1.0,0.5,Brilliant
1K6/3R1P2/4N1k1/3pP1pp/6P1/2P5/8/8 w - - 1 62,LeelaMultiPoss,pawn_git,f7f8n,9999,9998,1.0,1.0,Equivalent
8/3P1k2/1p4p1/2pK2P1/2P5/7P/8/4r3 w - - 1 45,trainingaccount996,ChessRabbit2023,d7d8n,-306,-512,0.2552,0.1428,Optimal
8/1Pkn4/8/6p1/1P1K1pP1/7P/8/8 w - - 1 84,pawn_git,InvinxibleFlxsh,b7b8n,-426,-495,0.1838,0.1503,Equivalent
8/R5P1/5k2/5p1K/7P/6br/P7/8 w - - 1 48,Tactician_01,i_am_averybadplayer,g7g8n,5,-9999,0.5044,0.0,Brilliant
r2q4/p4P1k/bpp3p1/n2P3p/2P1p3/7Q/PB4PP/1R4K1 w - - 1 29,cinder-bot,YukariBot,f7f8n,383,410,0.7926,0.8077,Equivalent
1r4k1/p4p1p/q5pP/5nP1/5P2/N1P5/PPQ1p3/1K1RR3 b - - 1 32,MiroulLaSurie,AntoineTianTian,e2d1n,387,363,0.2051,0.2192,Equivalent
8/8/8/8/8/3K4/1Qp5/3k4 b - - 7 80,LeelaMultiPoss,Stockfish-MEDIUM,c2c1n,9997,9999,0.0,0.0,Equivalent
1r2r3/p2PB1kp/4Q1p1/1pq5/n1p2pB1/7P/P5P1/4bR1K w - - 0 30,Papa_Sabirova666,Latinceadam34,d7e8n,9991,9993,1.0,1.0,Equivalent
8/8/8/8/8/6K1/1R5p/6k1 b - - 3 60,TheFord,evilhamburger,h2h1n,9991,9999,0.0,0.0,Equivalent
2K5/1P3q2/2k5/8/8/5p2/8/8 w - - 5 55,Carlsen_brat,Sankalp1760,b7b8n,-9996,-9999,0.0,0.0,Equivalent
8/3P1kP1/4nP2/p1p1PK2/PpP5/1P6/8/8 w - - 1 71,winx_m,Kazmin_Semyon,g7g8n,928,9995,0.9626,1.0,Equivalent
8/6k1/2r3n1/6P1/4NPK1/8/7p/8 b - - 1 61,Pizza_37,Farid_Namazov,h2h1n,-418,-9996,0.812,1.0,Style / Flex
K7/1P6/8/1R6/4k3/8/8/6r1 w - - 7 82,cinder-bot,odonata-bot,b7b8n,10,1057,0.5087,0.9759,Blunder
8/8/R7/8/8/6K1/7p/6k1 b - - 3 61,TomasSosa,DMD07,h2h1n,9992,9999,0.0,0.0,Equivalent
8/p5pp/B3pp2/8/4bP1k/P6P/3Qp3/2R3K1 b - - 1 40,akob24,Crazy_Lemon_Grass,e2e1n,9993,9993,0.0,0.0,Equivalent
8/4KP2/8/8/5k2/8/8/8 w - - 0 79,cinder-bot,Weiawaga,f7f8n,29,9992,0.5254,1.0,Blunder
8/PR5P/8/5k2/7r/4K3/5p2/8 b - - 2 63,sometimese4,LichForLabs,f2f1n,639,586,0.0965,0.114,Equivalent
3q4/1P4p1/2K3k1/2p2p2/8/8/8/8 w - - 0 55,LichForLabs,efourwhitewins,b7b8n,-1099,-9989,0.0209,0.0,Equivalent
8/4PK2/8/3k4/4r3/8/8/8 w - - 3 84,Lenya228_BOT,ArasanX,e7e8n,-26,0,0.4773,0.5,Equivalent
8/r6Q/kppN2P1/3bB2B/3P4/4R1K1/1p3P2/8 b - - 1 60,Euwe-chess-engine,bot64jaques,b2b1n,1200,9999,0.0148,0.0,Equivalent
8/4kp2/2P1p3/1b2P2p/5P2/1p3R2/1r2pK2/2R5 b - - 0 40,PZChessBot,magnusglad_bot,e2e1n,-413,-405,0.8093,0.8049,Equivalent
8/1p6/p7/P7/4np2/6k1/7p/6BK b - - 1 100,InanisBot,Lynx_BOT,h2g1n,-9996,-9996,1.0,1.0,Equivalent
5Q2/8/8/3k4/5P2/6K1/1r5p/8 b - - 0 87,FinalSpot,BiletskiyDanylo,h2h1n,451,523,0.171,0.1382,Equivalent
r7/3P4/4k2p/8/8/r6p/p1R1K2P/R7 w - - 4 52,ArasanX,Matrioshka_brain,d7d8n,0,0,0.5,0.5,Equivalent
8/5P2/4k3/2b5/5K2/8/8/8 w - - 1 92,Nick210377,SandraLynn,f7f8n,0,0,0.5,0.5,Equivalent
8/3P4/2k4p/4Rp2/5p1p/5P1P/rp1r4/2q1R2K w - - 0 77,RavenEngine,CPU2002,d7d8n,-9993,-9993,0.0,0.0,Equivalent
6r1/p1pbP3/3k1p1n/2p5/2p2N1K/P1P5/1P3B2/4R3 w - - 15 54,SaxtonEngine,MateWithRook_SF17DEV,e7e8n,-57,-70,0.4503,0.4391,Equivalent
6r1/PK1k4/8/B1pP1pp1/P2bnp1p/7P/R3R1P1/8 w - - 3 61,bot64jaques,CPU2002,a7a8n,286,157,0.7313,0.634,Brilliant
8/1PK5/8/8/4k3/8/8/8 w - - 1 66,cinder-bot,odonata-bot,b7b8n,20,9990,0.5175,1.0,Blunder
8/8/8/6p1/4k3/8/3r2pK/1R6 b - - 13 129,PZChessBot,SaxtonEngine,g2g1n,-13,-3,0.5114,0.5026,Equivalent
5k1K/7P/8/8/1p6/1B6/3p4/8 b - - 1 66,cinder-bot,YukariBot,d2d1n,719,9986,0.0747,0.0,Optimal
6r1/2PP4/3Nk3/p7/1p6/1P1R4/P6q/3K4 w - - 23 59,Weiawaga,Lynx_BOT,d7d8n,-25,-9999,0.4781,0.0,Brilliant
3b4/2pk1P2/ppn1q2p/8/PP1p2Q1/8/2PB4/5RK1 w - - 1 46,Lynx_BOT,Nakshatra3,f7f8n,1007,-9,0.9714,0.4921,Brilliant
8/3r1P2/6k1/Pp4Np/1P2K2P/6P1/5P2/8 w - - 0 81,Euwe-chess-engine,bot64jaques,f7f8n,9992,9990,1.0,1.0,Equivalent
6Q1/p1k5/1p2B3/4P3/1P1K4/P7/5p2/8 b - - 0 45,Viktor_Ten,AntiberserkM,f2f1n,9999,9999,0.0,0.0,Equivalent
8/1p2Pk2/1p4p1/8/5p2/3p3b/2r5/1K6 w - - 1 42,destroylevel,nickVet,e7e8n,-9997,-9997,0.0,0.0,Equivalent
6k1/4R3/p7/P4P2/6K1/Bp6/1P2p3/8 b - - 1 49,Novozhilov_Semyon,gmlectures,e2e1n,9994,9994,0.0,0.0,Equivalent
4K3/r4P2/4k3/8/8/P7/8/8 w - - 3 68,Lenya228_BOT,Moment-That-Inspires,f7f8n,-46,-9999,0.4598,0.0,Brilliant
1qr1r3/1b1npPkp/pp4p1/2n5/2Pb4/1PN1Q1PP/PB4B1/3R1RK1 w - - 1 21,MothToTheFlame,jshutzman,f7e8n,608,-341,0.8936,0.2326,Brilliant
8/8/8/8/8/5K1k/5Qp1/8 b - - 31 84,Novozhilov_Semyon,ShellingFord92,g2g1n,9998,9998,0.0,0.0,Equivalent
8/8/8/8/8/3K4/R3p3/3k4 b - - 5 61,odonata-bot,PZChessBot,e2e1n,35,9999,0.4694,0.0,Brilliant
2r5/4P1kp/2rN2p1/8/pp6/5R1P/2P3P1/2K5 w - - 1 36,Nikitosikbot_v2,SaxtonEngine,e7e8n,185,6,0.6564,0.5052,Brilliant
3K1n2/P7/4k3/8/8/8/8/7b w - - 12 69,bot_adario,MateWithRook_SF17DEV,a7a8n,-9982,-9985,0.0,0.0,Equivalent
q5r1/1R1P3k/3PP1p1/7p/7P/p3Q1PB/P4P2/6K1 w - - 1 41,YukariBot,simpleEval,d7d8n,1088,1222,0.9783,0.9863,Equivalent
8/8/8/4Bp2/2k1bPpK/p1n5/1p6/8 b - - 3 65,average-israeli,MassterofMayhem,b2b1n,-1069,-9992,0.9768,1.0,Equivalent
8/8/8/4Bp2/2k1bPpK/2n5/p7/1n6 b - - 1 67,average-israeli,MassterofMayhem,a2a1n,-955,-1205,0.9659,0.9855,Equivalent
1B6/8/8/5p1K/2k1bP2/2n2n2/2n3p1/8 b - - 1 73,average-israeli,MassterofMayhem,g2g1n,-878,-9996,0.9558,1.0,Equivalent
5n2/1P6/2k3p1/3NKp1p/5P2/6PP/8/8 w - - 1 68,cinder-bot,odonata-bot,b7b8n,565,440,0.8784,0.8235,Optimal
8/8/8/8/8/3K4/5kp1/1R6 b - - 5 110,PZChessBot,Shocky_BOT,g2g1n,37,0,0.4677,0.5,Equivalent
5bk1/1p5p/2q3pP/2p1B3/2Pp4/pP4RQ/P3p3/5RK1 b - - 0 40,CruelKen,pawn_git,e2f1n,445,454,0.174,0.1695,Equivalent
8/1k5P/1P6/P4R2/6N1/4P1P1/5P2/6K1 w - - 1 58,Keanu_Greaves,Sam_Master,h7h8n,9993,9997,1.0,1.0,Equivalent
7N/5PP1/kP6/P1R5/4N3/4P3/8/6K1 w - - 1 71,Keanu_Greaves,Sam_Master,f7f8n,9997,9999,1.0,1.0,Equivalent
5N1N/4P1P1/kP6/P1R5/8/8/3N4/6K1 w - - 1 77,Keanu_Greaves,Sam_Master,e7e8n,9997,9999,1.0,1.0,Equivalent
5N1N/6P1/kP3N2/P1R5/8/8/3N4/6K1 w - - 3 79,Keanu_Greaves,Sam_Master,g7g8n,9996,9998,1.0,1.0,Equivalent
8/1P6/8/1K1k4/5bB1/8/8/8 w - - 2 112,InanisBot,CPU2006,b7b8n,4,3,0.5035,0.5026,Equivalent
r6k/4R2p/pp2r3/2p2Q1N/2Pb2P1/1P5P/P3p2K/5R2 b - - 0 33,Ghovat37,IAmMateCheckMate,e2f1n,97,9999,0.4159,0.0,Brilliant
8/8/1k6/8/1p1N3r/3K4/2p5/6R1 b - - 1 84,ChessatronBot,CPU2006,c2c1n,13,20,0.4886,0.4825,Equivalent
3B4/1k2P3/8/1K3n2/8/8/8/8 w - - 1 122,FataliiBot,InanisBot,e7e8n,26,16,0.5227,0.514,Equivalent
4R3/8/8/8/3k4/8/3p1K2/8 b - - 3 78,Chalenger2030,lanturn17,d2d1n,9,412,0.4921,0.1912,Brilliant
5K2/8/8/6k1/8/3N4/2p5/8 b - - 1 68,SaxtonEngine,cinder-bot,c2c1n,-1,0,0.5009,0.5,Equivalent
8/1P6/4R3/K7/P7/8/k7/8 w - - 1 101,cinder-bot,odonata-bot,b7b8n,9991,9997,1.0,1.0,Equivalent
8/6B1/8/3k4/8/b7/1pK5/8 b - - 1 77,Amati17,Kartochnik,b2b1n,-15,0,0.5131,0.5,Equivalent
1Q6/8/5K1p/2p4k/2P3p1/2P3P1/p7/8 b - - 0 48,LordMustard,Sanamente,a2a1n,9999,9999,0.0,0.0,Equivalent
5n2/3P4/8/2K5/5k2/8/6B1/8 w - - 1 72,ArasanX,mayhem23111,d7d8n,14,14,0.5122,0.5122,Equivalent
2B5/P7/3K4/8/5k2/8/8/8 w - - 1 71,cinder-bot,pawn_git,a7a8n,189,9994,0.6596,1.0,Style / Flex
8/8/8/8/8/2QK4/p7/1k6 b - - 3 75,ArasanX,Euwe-chess-engine,a2a1n,9996,9999,0.0,0.0,Equivalent
3b4/6pp/4k3/3p1p2/6r1/5nBK/4p2P/8 b - - 5 52,OpeningsBot,Shocky_BOT,e2e1n,-9999,-9998,1.0,1.0,Equivalent
3R4/PPP2k1P/8/8/1B6/5PR1/5K2/8 w - - 1 58,seawolf667,Tactician_01,a7a8n,9997,9997,1.0,1.0,Equivalent
N2R4/1PP4P/4k3/8/1B6/5PR1/5K2/8 w - - 1 59,seawolf667,Tactician_01,b7b8n,9997,9998,1.0,1.0,Equivalent
NN1R4/2P2k1P/8/8/1B6/5PR1/5K2/8 w - - 1 60,seawolf667,Tactician_01,c7c8n,9997,9998,1.0,1.0,Equivalent
8/1P1nk1p1/7p/4p3/1P1pb3/8/5PPP/2R2K2 w - - 0 37,hardmovess,Ronnie_Sullivan,b7b8n,-265,-259,0.2834,0.2877,Equivalent
3K4/4P3/8/8/3k4/1B2R3/5P2/8 w - - 25 59,TheUnrealPietzsch,Attila76,e7e8n,9989,9997,1.0,1.0,Equivalent
8/3Pb2p/4k3/7P/6p1/p5P1/K7/8 w - - 1 52,SaxtonEngine,DarkOnBot,d7d8n,-561,-786,0.1231,0.06,Optimal
r7/2PQBpk1/4p1p1/4P2p/2q2P1P/4K1P1/3p4/8 b - - 1 44,CuzImBetter,Alleks1000,d2d1n,-484,-486,0.8447,0.8457,Equivalent
6K1/r6P/6k1/8/8/8/8/8 w - - 3 67,FastCavalier,Gyalog75,h7h8n,-9991,-9999,0.0,0.0,Equivalent
5k2/8/3bRp2/7q/p2P4/2P2N2/P4K1p/4R3 b - - 3 54,odonata-bot,ArasanX,h2h1n,-256,-174,0.7101,0.6477,Brilliant
8/5P2/7R/8/4R3/8/5kPK/8 w - - 1 61,Wolpertingerwelpe,Alfilparanoico,f7f8n,9999,10000,1.0,1.0,Equivalent
5N2/6P1/8/8/4R3/7R/5k1K/8 w - - 1 67,Wolpertingerwelpe,Alfilparanoico,g7g8n,9999,9999,1.0,1.0,Equivalent
1n6/p2P4/8/8/3K4/8/5k2/1B6 w - - 1 100,Dragon-Komodo,DarkOnBot,d7d8n,19,-21,0.5166,0.4816,Equivalent
6B1/4P1k1/8/P4p2/5P1p/6nP/6PK/2r5 w - - 0 51,soyelPUT0ESCANOR,Aborigen100500,e7e8n,-9998,-9999,0.0,0.0,Equivalent
2R1Q3/5p2/4p3/p2kP3/3P4/5KP1/r3p3/8 b - - 5 50,Proward05,nezburaz,e2e1n,639,9999,0.0965,0.0,Optimal
8/PP6/8/2N2k2/3K4/7P/5PP1/8 w - - 1 69,kloynFedotus,Stammargg,b7b8n,9994,9997,1.0,1.0,Equivalent
1N6/P7/8/2N3k1/3K4/7P/5PP1/8 w - - 1 70,kloynFedotus,Stammargg,a7a8n,1237,9995,0.987,1.0,Equivalent
8/7P/2k3P1/5P2/6K1/2NN4/3N4/8 w - - 1 93,kloynFedotus,Stammargg,h7h8n,9994,9996,1.0,1.0,Equivalent
7N/6P1/8/k4P2/6K1/2NN4/3N4/8 w - - 1 95,kloynFedotus,Stammargg,g7g8n,9994,9997,1.0,1.0,Equivalent
2r1n3/p4Pkp/2r1p1p1/3p4/1q1P2P1/1PpR1R2/2Q2B1P/6K1 w - - 1 34,Sagitario999,mikhailtal20100,f7e8n,469,493,0.8377,0.8488,Equivalent
8/2P1k3/8/2K5/8/8/8/7r w - - 1 67,Ukraine-team-creator,Stockfish-MEDIUM,c7c8n,-37,-431,0.4677,0.1812,Brilliant
1r2n1k1/1PP4p/3P4/2K5/8/8/1P5p/8 b - - 0 58,ViejoTortuga,ArastouAmel,h2h1n,1667,0,0.0029,0.5,Blunder
6k1/8/3p4/3q4/1K1n4/8/5p2/6q1 b - - 1 75,AlveBot,PZChessBot,f2f1n,-9998,-9998,1.0,1.0,Equivalent
8/8/8/3B4/4PPP1/k5P1/1p4Kp/1B6 b - - 1 57,stay_confident,frepricot1,h2h1n,9985,9989,0.0,0.0,Equivalent
8/8/7R/8/3k4/8/1K1p4/8 b - - 0 118,mayhem23111,tomlesspit,d2d1n,0,414,0.5,0.1902,Brilliant
5k2/1P3p2/7p/1q6/p7/7P/6K1/8 w - - 0 50,bot_adario,YukariBot,b7b8n,-9993,-9993,0.0,0.0,Equivalent
8/Pb6/8/8/6k1/4K2p/4p3/4B3 w - - 0 54,DarsLock,Incike,a7a8n,-721,-1386,0.0742,0.0078,Optimal
8/4kP2/1p2p3/1Pp1p1p1/2P1P1P1/6PK/8/8 w - - 1 47,hudiniii,OliviaRodrigoFanboy,f7f8n,0,0,0.5,0.5,Equivalent
8/k7/8/8/8/8/5Kp1/5N1b b - - 0 60,mentalrepresentation,Chariteawithambition,g2f1n,0,0,0.5,0.5,Equivalent
8/8/8/8/6p1/5k2/pp1pbb2/7K b - - 1 67,Bulgash,MIGV,a2a1n,-9998,-9999,1.0,1.0,Equivalent
8/8/8/8/6p1/5k2/1p1pbb1K/n7 b - - 1 68,Bulgash,MIGV,b2b1n,-9998,0,1.0,0.5,Brilliant
8/8/8/8/6p1/5k2/3pbb2/nn5K b - - 1 69,Bulgash,MIGV,d2d1n,-9997,-9999,1.0,1.0,Equivalent
4K3/r4P2/4k3/8/8/8/8/8 w - - 5 103,Boller1910,tomlesspit,f7f8n,-35,-9999,0.4694,0.0,Brilliant
8/2p2Ppk/8/8/8/8/1pr4p/7K w - - 1 66,Euwe-chess-engine,Lynx_BOT,f7f8n,-9998,-9998,0.0,0.0,Equivalent
8/P6Q/8/6k1/1K6/1P6/8/8 w - - 1 75,cinder-bot,Weiawaga,a7a8n,9990,9998,1.0,1.0,Equivalent
N7/1P5Q/8/8/2K5/5k2/8/8 w - - 1 81,cinder-bot,Weiawaga,b7b8n,9992,9997,1.0,1.0,Equivalent
2Q5/8/8/p2k4/P5N1/8/1K3p2/8 b - - 2 63,MateWithRook_SF17DEV,Weiawaga,f2f1n,9990,9986,0.0,0.0,Equivalent
7r/1P3p2/8/8/4Pk2/5P2/6KP/8 w - - 3 57,poik4m,DeLaMaestro,b7b8n,-680,-9985,0.0847,0.0,Optimal
7k/1p1nNQ1n/p1bP4/4r3/6Pb/7P/PP3p1K/3R4 b - - 1 39,Konnov_Oleg,Malakhov_Igor,f2f1n,496,9999,0.1498,0.0,Optimal
8/5Ppk/6qp/p7/P4P2/6RP/6PK/4q3 w - - 0 46,Stockfish-MEDIUM,Nikitosikbot_v2,f7f8n,-288,-9999,0.2674,0.0,Optimal
8/6kP/8/8/8/1p6/1K6/8 w - - 1 76,ArasanX,MateWithRook_SF17DEV,h7h8n,0,0,0.5,0.5,Equivalent
8/8/8/8/8/4K3/R4p2/4k3 b - - 7 60,Weerasekara,noo_soup_for_you,f2f1n,21,9999,0.4816,0.0,Brilliant
5K2/6P1/5k2/8/8/8/r7/8 w - - 13 104,RaspFish,tomlesspit,g7g8n,-30,-9999,0.4738,0.0,Brilliant
8/6PK/5q2/7k/8/8/8/8 w - - 23 124,FataliiBot,InanisBot,g7g8n,-9996,-9999,0.0,0.0,Equivalent
8/Q1RP1rkp/4q3/4p3/4P3/7P/5pPK/8 w - - 0 47,Euwe-chess-engine,AlveBot,d7d8n,613,690,0.8952,0.918,Equivalent
1rb2k2/8/7p/1N1Pp3/2P1P3/3B4/3K1pp1/3Q1Nq1 b - - 1 41,CPU2002,PZChessBot,g2f1n,-301,-276,0.7414,0.7243,Equivalent
