FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
5k2/r7/6p1/8/8/2nn4/1p2q3/7K b - - 1 68,KoT_Tropical,KAVO_LIDER,b2b1n,-9998,-10000,1.0,1.0,Equivalent
6R1/8/8/8/8/7k/5K1p/8 b - - 3 64,IAmMateCheckMate,KAPUTVSEMU,h2h1n,9988,9982,0.0,0.0,Equivalent
1B6/3R3p/k7/1p6/2rP3P/1K6/p4PP1/8 b - - 1 51,Recobachess,IgorVershinin2009,a2a1n,260,545,0.287,0.1293,Optimal
8/4KP2/8/2k1n3/8/1B6/8/8 w - - 1 139,Cheng-4-NN,Nikitosikbot_v2,f7f8n,2,-20,0.5017,0.4825,Equivalent
8/N1PR4/1K6/1P6/4k3/8/8/8 w - - 1 67,Hammurapi65,SiSi5i,c7c8n,9992,9996,1.0,1.0,Equivalent
2N5/NP1R4/2K1k3/8/8/8/8/8 w - - 1 71,Hammurapi65,SiSi5i,b7b8n,748,9996,0.932,1.0,Style / Flex
8/7p/p7/kp3R1K/8/7P/2r3p1/8 b - - 1 65,PutrescentKnight,MONCLER_4_EVER,g2g1n,-588,-9994,0.8868,1.0,Style / Flex
1Q6/1p1P1k2/p3pp2/3b1p2/8/2P5/P4qPP/3R3K w - - 3 32,paja534,FieryBrunette,d7d8n,377,-9999,0.7891,0.0,Brilliant
8/8/8/8/8/1K6/p4R2/1k6 b - - 3 60,Katik87,Semkov,a2a1n,9992,9999,0.0,0.0,Equivalent
8/4n3/5k1p/3b1P1P/1r6/K5p1/4p1n1/8 b - - 3 49,WegiVonTana,Bond_Ivan,e2e1n,-9994,0,1.0,0.5,Brilliant
8/4n3/5k1p/5b1n/8/2K5/6p1/4n3 b - - 1 55,WegiVonTana,Bond_Ivan,g2g1n,-9989,-9996,1.0,1.0,Equivalent
8/8/8/4kn2/5n2/5n2/b6p/K5n1 b - - 9 66,WegiVonTana,Bond_Ivan,h2h1n,-9991,-9996,1.0,1.0,Equivalent
8/5P1p/3K3P/8/8/8/8/4Nk2 w - - 1 74,Nikitosik-ai,OlympusCz,f7f8n,870,9992,0.9546,1.0,Equivalent
3r4/7p/8/p7/P7/6R1/kp5K/8 b - - 1 49,GuyHiddenInTheDepths,FianuioAspas12,b2b1n,-446,-826,0.8265,0.9474,Style / Flex
3r4/7p/8/8/8/1kn5/p5RK/8 b - - 1 58,GuyHiddenInTheDepths,FianuioAspas12,a2a1n,-317,-9990,0.752,1.0,Style / Flex
8/1P1k4/8/4b1K1/8/8/8/8 w - - 1 128,Nikitosikbot_v2,OlympusCz,b7b8n,-45,-15,0.4607,0.4869,Equivalent
8/8/8/3K4/4p3/3bk2B/5p2/8 b - - 1 67,Dontknowhowtochess96,KAVO_LIDER,f2f1n,-196,-1170,0.6651,0.9836,Style / Flex
8/1P6/n7/3k4/6K1/8/8/8 w - - 10 87,Nikitosik-ai,OlympusCz,b7b8n,-44,-3,0.4616,0.4974,Equivalent
8/7P/5N2/KP6/8/8/8/2k5 w - - 1 69,Nikitosik-ai,OlympusCz,h7h8n,9989,9994,1.0,1.0,Equivalent
8/8/8/5Kp1/P2N3k/8/4p3/8 b - - 1 50,Ukraine-team-creator,bot_adario,e2e1n,521,622,0.139,0.1018,Equivalent
8/8/5P2/8/7p/2N4P/1p1K2P1/k7 b - - 0 59,MiroulLaSurie,delta_shtrikh,b2b1n,9992,9993,0.0,0.0,Equivalent
8/5P2/4k3/3p4/1p1Q4/8/1KP5/8 w - - 1 42,Highkey_undercover,MiroulLaSurie,f7f8n,9989,9998,1.0,1.0,Equivalent
1kr5/1P6/K7/8/8/8/8/8 w - - 0 149,ArasanX,ToromBot,b7c8n,0,0,0.5,0.5,Equivalent
8/P7/8/1K3k2/1P6/8/8/8 w - - 1 57,Nikitosikbot_v2,MaxtheDog,a7a8n,620,9992,0.8975,1.0,Style / Flex
8/pp3PQ1/8/5k2/8/8/P7/K5R1 w - - 1 44,orange_knight788,master05,f7f8n,9994,9998,1.0,1.0,Equivalent
8/5Pq1/8/P3k3/4b2K/8/8/8 w - - 1 65,Buhmann,average-israeli,f7f8n,-9996,-9996,0.0,0.0,Equivalent
8/8/4k3/1p6/8/2K5/p7/8 b - - 1 55,OpeningsBot,Shocky_BOT,a2a1n,0,-9992,0.5,1.0,Blunder
8/3Pk3/8/1R6/8/p4K2/8/8 w - - 1 55,cinder-bot,pawn_git,d7d8n,467,9979,0.8368,1.0,Style / Flex
5k2/PR5R/7p/1P4pP/4r3/4r3/5p1K/8 b - - 1 112,PZChessBot,InanisBot,f2f1n,0,9999,0.5,0.0,Brilliant
2R5/1k1Pbp2/1p6/p3KB1r/P6P/8/8/8 w - - 20 98,Nikitosik-ai,MayhemPI_cluster,d7d8n,166,202,0.6413,0.6697,Blunder
2Q5/2P1k3/p1P2p2/8/B3P3/5p2/3K1pnp/8 b - - 0 40,JoeAssaad,Hadij17,f2f1n,9995,9998,0.0,0.0,Equivalent
8/7P/5P2/4k3/6B1/8/6K1/8 w - - 1 60,cinder-bot,YukariBot,h7h8n,201,9995,0.669,1.0,Style / Flex
8/8/8/5n2/5k1p/5p2/4p2K/8 b - - 1 67,canc3111,Jakebr8,e2e1n,-9995,-9999,1.0,1.0,Equivalent
8/8/8/5n2/5k1p/8/5p1K/4n3 b - - 1 69,canc3111,Jakebr8,f2f1n,-9994,0,1.0,0.5,Brilliant
8/1N1P4/4K3/6k1/2B5/8/8/8 w - - 1 80,cinder-bot,simbelmyne-bot,d7d8n,391,9996,0.7971,1.0,Style / Flex
8/5p2/8/8/5N2/8/3K1kp1/8 b - - 9 52,Brainy60,ArasanX,g2g1n,-26,-15,0.5227,0.5131,Equivalent
8/8/8/3n4/8/8/1kp2K2/4N3 b - - 1 71,cinder-bot,SaxtonEngine,c2c1n,0,-3,0.5,0.5026,Equivalent
8/4P3/4k3/7p/8/P3K3/6PP/8 w - - 1 42,blindcrocodile,kahvitauko,e7e8n,706,9987,0.9221,1.0,Style / Flex
8/8/8/3k4/8/8/3Kp3/8 b - - 1 91,PerseusBot,cinder-bot,e2e1n,0,0,0.5,0.5,Equivalent
3Q4/pp3P1k/3p2r1/4p3/2PpPP2/3P4/P1q3P1/R5K1 w - - 0 33,Jheronimo,Podrebo,f7f8n,718,-9999,0.925,0.0,Brilliant
8/8/8/8/8/5QK1/7p/6k1 b - - 4 75,Konnov_Oleg,gines13,h2h1n,9995,9999,0.0,0.0,Equivalent
6k1/8/5p2/5P2/8/8/5BKp/8 b - - 1 59,Brainy60,YukariBot,h2h1n,735,735,0.0709,0.0709,Equivalent
8/8/8/5K2/8/8/6p1/7k b - - 0 91,simbelmyne-bot,cinder-bot,g2g1n,1,-9985,0.4991,1.0,Blunder
8/2R3Pk/8/8/8/1K6/4r3/8 w - - 13 80,Nikitosik-ai,Brainy60,g7g8n,0,0,0.5,0.5,Equivalent
8/2PP1k2/4p1p1/4P3/5P1p/3Q1K1P/r5P1/4q3 w - - 17 73,simbelmyne-bot,DarkOnBot,d7d8n,-137,-9997,0.3824,0.0,Brilliant
rnbqk1nr/ppp2ppp/8/4P3/1BP5/8/PP2KpPP/RN1Q1BNR b kq - 1 7,Mysterious-Master,SAGlTARlUS,f2g1n,-515,18,0.8585,0.4843,Brilliant
1q3k2/6RR/5Np1/3r4/7P/3p2P1/1P3p1K/8 b - - 1 45,rtahmass,Keelgara,f2f1n,-692,9999,0.9185,0.0,Brilliant
7k/2Pb4/7P/5p2/2B3p1/6K1/5p2/8 b - - 5 53,InanisBot,AkuBot,f2f1n,1,9,0.4991,0.4921,Equivalent
8/3P1k2/P7/3p1qp1/N2P2n1/1r2p1Pp/4QP1P/2R3K1 w - - 0 41,Haunting_Games,rain_chesss,d7d8n,18,636,0.5157,0.9026,Blunder
3k4/8/8/8/6p1/8/Kp2q3/8 b - - 1 74,YukariBot,cinder-bot,b2b1n,-9996,-9997,1.0,1.0,Equivalent
8/P7/8/1PK1k3/8/8/6b1/8 w - - 13 108,PetersBot,Brainy60,a7a8n,1,0,0.5009,0.5,Equivalent
8/4P1k1/4Qp2/7p/7P/6PK/8/2q5 w - - 1 69,InanisBot,CPU2006,e7e8n,148,-9999,0.6267,0.0,Brilliant
